username,date,text,replies,reposts,likes,bookmarks,views
theapplehub,2025-04-08T17:04:09.000Z,Is your iPhone's battery life better or worse with iOS 18.4?,602,242,5714,217,519809
DaBossDon2014,2025-04-08T19:53:15.000Z,My Battery Life now ,5,0,16,5,12049
CLoeralimas,2025-04-08T17:08:44.000Z,Does anyone feel that their iPhone heats up easily? Speaking from my perspective with iPhone 16,45,2,308,0,23604
Ghostfac3Kill3r,2025-04-08T17:06:55.000Z,I’ve been one 1% for two straight days,0,0,14,0,14045
Reeves836692,2025-04-08T20:14:40.000Z,Super worse,0,0,32,0,11305
sicshit,2025-04-08T17:06:18.000Z,Worse.. 15 pro max,3,0,80,0,10696
tslecomte,2025-04-08T19:41:04.000Z,"I haven't really checked, which I guess means I haven't noticed.

So I am going to go with normal...",0,0,0,0,4893
DViralPanda,2025-04-08T18:16:18.000Z,Worse,0,0,0,0,5470
billynewport,2025-04-09T09:40:22.000Z,Worse,0,0,0,0,1677
AlcKapoor,2025-04-08T19:27:59.000Z,"iOS 18.whatever version is an absolute disaster, even iOS 18.4 heats the phone and drains the battery",0,0,3,0,638
kenmollen,2025-04-09T16:34:23.000Z,Worse,0,0,0,0,1006
theapplehub,2025-04-08T17:04:09.000Z,Is your iPhone's battery life better or worse with iOS 18.4?,602,242,5714,217,519809
DaBossDon2014,2025-04-08T19:53:15.000Z,My Battery Life now ,5,0,16,5,12049
CLoeralimas,2025-04-08T17:08:44.000Z,Does anyone feel that their iPhone heats up easily? Speaking from my perspective with iPhone 16,45,2,308,0,23604
Ghostfac3Kill3r,2025-04-08T17:06:55.000Z,I’ve been one 1% for two straight days,0,0,14,0,14045
Reeves836692,2025-04-08T20:14:40.000Z,Super worse,0,0,32,0,11305
sicshit,2025-04-08T17:06:18.000Z,Worse.. 15 pro max,3,0,80,0,10696
tslecomte,2025-04-08T19:41:04.000Z,"I haven't really checked, which I guess means I haven't noticed.

So I am going to go with normal...",0,0,0,0,4893
DViralPanda,2025-04-08T18:16:18.000Z,Worse,0,0,0,0,5470
billynewport,2025-04-09T09:40:22.000Z,Worse,0,0,0,0,1677
AlcKapoor,2025-04-08T19:27:59.000Z,"iOS 18.whatever version is an absolute disaster, even iOS 18.4 heats the phone and drains the battery",0,0,3,0,638
kenmollen,2025-04-09T16:34:23.000Z,Worse,0,0,0,0,1006
UnTino,2025-04-08T19:14:22.000Z,Not really,0,0,0,0,3389
deb_helf,2025-04-09T02:18:41.000Z,"Worse, iPhone 16 Pro Max",0,0,0,0,2361
thomasopeters,2025-04-08T17:52:51.000Z,Better,0,0,0,0,4582
mtgproductionss,2025-04-08T17:25:34.000Z,About the same for me,0,0,0,0,5364
raytronixAI,2025-04-09T19:52:25.000Z,it wasn't until the most recent Beta release. Seems to be OK now,0,0,0,0,971
LordJamieVShiLL,2025-04-08T20:40:39.000Z,Worse Iphone 13 by the way,0,0,0,0,3088
IliaDelin,2025-04-08T18:25:04.000Z,"The only person whose phone never dies. iPhone 15 Pro Max, I just always charge overnight.",7,0,18,0,12732
DripXi,2025-04-08T17:15:33.000Z,Phones heats up when playing music,6,2,59,0,16970
HeyPrashant_,2025-04-08T17:36:15.000Z,Meanwhile my iPhone! ,2,5,236,3,15872
niepreneur,2025-04-08T17:15:21.000Z,My iPhone’s battery is better than my life.,3,2,88,0,14602
MarcanoFilms,2025-04-08T19:15:45.000Z,"my battery wont charge to 100% , sometimes it just wont go over 80% now",3,0,20,2,8137
iMarkLx,2025-04-08T17:58:58.000Z,"It’s been around the same, but if I had to say either way… It’s been a little better actually. 
Below was yesterday‘s battery on my iPhone 16 Pro. 

8 hrs & 16 mins of SOT/Active with 14% battery remaining. 
Took off charge at 100% at 6:29 AM ; and as you can see that",0,0,30,0,11807
00HMARTIN,2025-04-08T17:09:13.000Z,18.5 beta made it better,0,0,3,0,8681
Dr_Chakri,2025-04-08T17:18:29.000Z,"Wooooorrrsstttttt 18.3.2 was top of the top maximum 75% used per day, now 125%",0,0,34,0,9089
Starship717,2025-04-08T20:20:42.000Z,Worse…iPhone 16 Pro Max.  This is the first update that’s messed with my battery since getting the phone,2,0,8,0,3296
Manni852,2025-04-09T03:38:20.000Z,Worse and it made my iPhone 13pro slower also,0,0,3,0,1671
aenriq925,2025-04-08T22:24:21.000Z,"Worse, goes down every update.",0,0,2,0,1103
hamamon0128,2025-04-08T17:29:12.000Z,better or worse,0,0,0,0,1748
HeyPrashant_,2025-04-08T17:36:15.000Z,Meanwhile my iPhone! ,2,5,236,3,15872
niepreneur,2025-04-08T17:15:21.000Z,My iPhone’s battery is better than my life.,3,2,88,0,14602
MarcanoFilms,2025-04-08T19:15:45.000Z,"my battery wont charge to 100% , sometimes it just wont go over 80% now",3,0,20,2,8137
iMarkLx,2025-04-08T17:58:58.000Z,"It’s been around the same, but if I had to say either way… It’s been a little better actually. 
Below was yesterday‘s battery on my iPhone 16 Pro. 

8 hrs & 16 mins of SOT/Active with 14% battery remaining. 
Took off charge at 100% at 6:29 AM ; and as you can see that",0,0,30,0,11807
00HMARTIN,2025-04-08T17:09:13.000Z,18.5 beta made it better,0,0,3,0,8681
Dr_Chakri,2025-04-08T17:18:29.000Z,"Wooooorrrsstttttt 18.3.2 was top of the top maximum 75% used per day, now 125%",0,0,34,0,9089
Starship717,2025-04-08T20:20:42.000Z,Worse…iPhone 16 Pro Max.  This is the first update that’s messed with my battery since getting the phone,2,0,8,0,3296
Manni852,2025-04-09T03:38:20.000Z,Worse and it made my iPhone 13pro slower also,0,0,3,0,1671
aenriq925,2025-04-08T22:24:21.000Z,"Worse, goes down every update.",0,0,2,0,1103
hamamon0128,2025-04-08T17:29:12.000Z,better or worse,0,0,0,0,1748
TechLiandr,2025-04-09T06:27:07.000Z,When I disabled Apple Intelligence it has become slightly better to be fair,0,0,8,0,1413
LucasBryner3,2025-04-08T17:05:03.000Z,If you use low power mode it will be even better ,0,0,7,0,3172
TPPerspectiv,2025-04-08T19:20:34.000Z,Better,0,0,0,0,797
franksdonald,2025-04-08T18:55:20.000Z,"Worse, it heats up way too easily",0,0,5,0,1358
Milten18,2025-04-08T17:55:05.000Z,Maybe slightly worse,0,0,0,0,1304
ZeroNineTwenty3,2025-04-08T17:21:26.000Z,"In my experience, it’s gotten a bit better.",0,0,0,0,2978
ApplesUpdate,2025-04-08T17:27:33.000Z,Normal,0,0,0,0,1563
F1Professional,2025-04-08T17:28:05.000Z,Better. iPhone 15 Pro Max.,0,0,0,0,86
br14ant,2025-04-08T21:16:12.000Z,It’s definitely worse!,0,0,0,0,676
faisi_leo,2025-04-10T16:49:44.000Z,WORSE! ,0,0,0,0,73
Albite_9,2025-04-08T17:07:16.000Z,Mine is very good so far.,0,0,15,0,4314
konstitsB,2025-04-08T17:07:04.000Z,Bad,0,0,0,0,3681
dwjtl,2025-04-08T19:42:41.000Z,"On an iPhone 14 Pro, so no AI, it’s better!",0,0,0,0,893
aufycache,2025-04-08T17:32:28.000Z,Worse,0,0,0,0,1504
LucaYaa1,2025-04-08T17:26:26.000Z,Mine is a little bit better on the iPhone16,0,0,4,0,2596
MisterMrKII,2025-04-08T21:25:40.000Z,Same,0,0,0,0,339
GeekB_Apple,2025-04-08T18:32:31.000Z,Worse 🫩,0,0,0,0,1516
PeaceEfih,2025-04-09T16:54:23.000Z,No difference at all,0,0,0,0,306
plcillero,2025-04-09T14:29:14.000Z,Peor y no se porque??,0,0,0,0,263
ShGeorgio,2025-04-09T20:22:53.000Z,Worse,0,0,0,0,137
Fozoro101,2025-04-08T17:08:21.000Z,No change,0,0,2,0,3184
inspired_by_AB,2025-04-08T18:31:34.000Z,Worse ,0,0,0,0,935
saichndra,2025-04-08T17:10:08.000Z,Worse,0,0,0,0,1796
hebbbrent,2025-04-08T18:55:48.000Z,Better,0,0,0,0,1330
KMStivers,2025-04-08T17:20:52.000Z,Worse!,0,0,0,0,2050
Inaktiv1999994,2025-04-08T20:23:23.000Z,Better,0,0,0,0,490
excogitatori_s,2025-04-08T17:19:20.000Z,Shut the f…up. Don’t ask. ,0,0,0,0,1276
itsYEday,2025-04-09T01:47:40.000Z,my phone is ass after whatever upgrade just happened couple days ago .. slower loading everything and battery dies quicker,0,0,0,0,469
Godisgracious63,2025-04-08T17:35:56.000Z,"Worse..before the update it used to reach 60% by 3pm with modest to heavy use,
Now I have to charge by 12pm.",2,0,3,0,2348
urb88c,2025-04-08T19:54:37.000Z,"iPhone 15, Nov2024",0,0,0,0,975
GeekB_Apple,2025-04-08T18:32:31.000Z,Worse 🫩,0,0,0,0,1516
PeaceEfih,2025-04-09T16:54:23.000Z,No difference at all,0,0,0,0,306
plcillero,2025-04-09T14:29:14.000Z,Peor y no se porque??,0,0,0,0,263
ShGeorgio,2025-04-09T20:22:53.000Z,Worse,0,0,0,0,137
Fozoro101,2025-04-08T17:08:21.000Z,No change,0,0,2,0,3184
inspired_by_AB,2025-04-08T18:31:34.000Z,Worse ,0,0,0,0,935
saichndra,2025-04-08T17:10:08.000Z,Worse,0,0,0,0,1796
hebbbrent,2025-04-08T18:55:48.000Z,Better,0,0,0,0,1330
KMStivers,2025-04-08T17:20:52.000Z,Worse!,0,0,0,0,2050
Inaktiv1999994,2025-04-08T20:23:23.000Z,Better,0,0,0,0,490
excogitatori_s,2025-04-08T17:19:20.000Z,Shut the f…up. Don’t ask. ,0,0,0,0,1276
itsYEday,2025-04-09T01:47:40.000Z,my phone is ass after whatever upgrade just happened couple days ago .. slower loading everything and battery dies quicker,0,0,0,0,469
Godisgracious63,2025-04-08T17:35:56.000Z,"Worse..before the update it used to reach 60% by 3pm with modest to heavy use,
Now I have to charge by 12pm.",2,0,3,0,2348
urb88c,2025-04-08T19:54:37.000Z,"iPhone 15, Nov2024",0,0,0,0,975
cnieto92,2025-04-08T17:54:27.000Z,"Thanks for the feedback, I think I will stay with iOS 17.7 on my 15 Pro",0,0,0,0,584
NellyTheKing,2025-04-09T15:41:40.000Z,My iPhone 15 pro max battery life is 91% and I’ve had it under one year I’m so shocked,0,0,0,0,87
